model_type,normalization_strategy,stopword_removal_strategy,vectorizer,max_features,ngram_range,vocab_size,training_accuracy,test_accuracy,processing_duration,report_training_data,report_test_data
LogisticRegression,none,w-stopwords,TfidfVectorizer,250000,UNIGRAMS,250000,0.796921875,0.8189415041782729,387.70680231414735,"{'0': {'f1-score': 0.7938953571349282, 'precision': 0.8032886840770954, 'recall': 0.7847191743890052, 'support': 159494.0}, '4': {'f1-score': 0.7998607941508905, 'precision': 0.7908802445902079, 'recall': 0.8090476368484667, 'support': 160506.0}, 'accuracy': 0.796921875, 'macro avg': {'f1-score': 0.7968780756429094, 'precision': 0.7970844643336517, 'recall': 0.7968834056187359, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7968875084901909, 'precision': 0.7970648434887131, 'recall': 0.796921875, 'support': 320000.0}}","{'0': {'f1-score': 0.8126801152737753, 'precision': 0.8294117647058824, 'recall': 0.7966101694915254, 'support': 177.0}, '4': {'f1-score': 0.8247978436657682, 'precision': 0.8095238095238095, 'recall': 0.8406593406593407, 'support': 182.0}, 'accuracy': 0.8189415041782729, 'macro avg': {'f1-score': 0.8187389794697717, 'precision': 0.8194677871148459, 'recall': 0.818634755075433, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8188233647649807, 'precision': 0.8193292916052214, 'recall': 0.8189415041782729, 'support': 359.0}}"
LogisticRegression,porter,wo-stopwords-nltk,HashingVectorizer,10000,UNI_AND_BI_AND_TRIGRAMS,10000,0.741428125,0.7883008356545961,315.16822809912264,"{'0': {'f1-score': 0.7364494911691166, 'precision': 0.7484478282543814, 'recall': 0.7248297741607834, 'support': 159494.0}, '4': {'f1-score': 0.7462221472496128, 'precision': 0.7348781858051577, 'recall': 0.757921822237175, 'support': 160506.0}, 'accuracy': 0.741428125, 'macro avg': {'f1-score': 0.7413358192093646, 'precision': 0.7416630070297696, 'recall': 0.7413757981989793, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.741351272221792, 'precision': 0.7416415500326468, 'recall': 0.741428125, 'support': 320000.0}}","{'0': {'f1-score': 0.7816091954022989, 'precision': 0.7953216374269005, 'recall': 0.768361581920904, 'support': 177.0}, '4': {'f1-score': 0.7945945945945946, 'precision': 0.7819148936170213, 'recall': 0.8076923076923077, 'support': 182.0}, 'accuracy': 0.7883008356545961, 'macro avg': {'f1-score': 0.7881018949984467, 'precision': 0.7886182655219609, 'recall': 0.7880269448066058, 'support': 359.0}, 'weighted avg': {'f1-score': 0.7881923225694236, 'precision': 0.7885249037962654, 'recall': 0.7883008356545961, 'support': 359.0}}"
LogisticRegression,none,w-stopwords,TfidfVectorizer,ALL_FEATURES,UNIGRAMS,404619,0.796925,0.8133704735376045,417.33457594178617,"{'0': {'f1-score': 0.7932131765185072, 'precision': 0.8053398120985772, 'recall': 0.7814463239996489, 'support': 159494.0}, '4': {'f1-score': 0.8005059187582887, 'precision': 0.7890436824459265, 'recall': 0.8123060820156256, 'support': 160506.0}, 'accuracy': 0.796925, 'macro avg': {'f1-score': 0.796859547638398, 'precision': 0.7971917472722518, 'recall': 0.7968762030076373, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7968710792870647, 'precision': 0.7971659790172385, 'recall': 0.796925, 'support': 320000.0}}","{'0': {'f1-score': 0.8057971014492754, 'precision': 0.8273809523809523, 'recall': 0.7853107344632768, 'support': 177.0}, '4': {'f1-score': 0.8203753351206434, 'precision': 0.8010471204188482, 'recall': 0.8406593406593407, 'support': 182.0}, 'accuracy': 0.8133704735376045, 'macro avg': {'f1-score': 0.8130862182849594, 'precision': 0.8142140363999002, 'recall': 0.8129850375613088, 'support': 359.0}, 'weighted avg': {'f1-score': 0.813187738018047, 'precision': 0.8140306531689665, 'recall': 0.8133704735376045, 'support': 359.0}}"
LogisticRegression,porter,w-stopwords,HashingVectorizer,250000,UNI_AND_BIGRAMS,250000,0.809575,0.8217270194986073,379.427458088845,"{'0': {'f1-score': 0.8070143212754233, 'precision': 0.8153654166133367, 'recall': 0.798832557964563, 'support': 159494.0}, '4': {'f1-score': 0.8120686145704188, 'precision': 0.8040491022352511, 'recall': 0.8202497102912041, 'support': 160506.0}, 'accuracy': 0.809575, 'macro avg': {'f1-score': 0.809541467922921, 'precision': 0.8097072594242939, 'recall': 0.8095411341278835, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.8095494600241937, 'precision': 0.8096893655021835, 'recall': 0.809575, 'support': 320000.0}}","{'0': {'f1-score': 0.806060606060606, 'precision': 0.869281045751634, 'recall': 0.751412429378531, 'support': 177.0}, '4': {'f1-score': 0.8350515463917526, 'precision': 0.7864077669902912, 'recall': 0.8901098901098901, 'support': 182.0}, 'accuracy': 0.8217270194986073, 'macro avg': {'f1-score': 0.8205560762261793, 'precision': 0.8278444063709627, 'recall': 0.8207611597442106, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8207579629972874, 'precision': 0.8272672944018725, 'recall': 0.8217270194986073, 'support': 359.0}}"
LogisticRegression,porter,wo-stopwords-custom,TfidfVectorizer,50000,UNI_AND_BI_AND_TRIGRAMS,50000,0.8033625,0.8495821727019499,383.6275946609676,"{'0': {'f1-score': 0.799658690031966, 'precision': 0.8123423248593052, 'recall': 0.7873650419451516, 'support': 159494.0}, '4': {'f1-score': 0.8069318474699002, 'precision': 0.7949700743606796, 'recall': 0.8192590931180143, 'support': 160506.0}, 'accuracy': 0.8033625, 'macro avg': {'f1-score': 0.8032952687509332, 'precision': 0.8036561996099925, 'recall': 0.8033120675315829, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.8033067694311318, 'precision': 0.8036287297388914, 'recall': 0.8033625, 'support': 320000.0}}","{'0': {'f1-score': 0.8421052631578947, 'precision': 0.8727272727272727, 'recall': 0.8135593220338984, 'support': 177.0}, '4': {'f1-score': 0.8563829787234043, 'precision': 0.8298969072164949, 'recall': 0.8846153846153846, 'support': 182.0}, 'accuracy': 0.8495821727019499, 'macro avg': {'f1-score': 0.8492441209406495, 'precision': 0.8513120899718838, 'recall': 0.8490873533246415, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8493435479292673, 'precision': 0.8510138283736194, 'recall': 0.8495821727019499, 'support': 359.0}}"
LogisticRegression,lemmatizer,wo-stopwords-nltk,HashingVectorizer,ALL_FEATURES,UNI_AND_BI_AND_TRIGRAMS,10000000,0.78985,0.8328690807799443,897.4829149581492,"{'0': {'f1-score': 0.7845250759391461, 'precision': 0.8022516677807049, 'recall': 0.7675649240723789, 'support': 159494.0}, '4': {'f1-score': 0.7949180867804384, 'precision': 0.7785450591988148, 'recall': 0.8119945671812892, 'support': 160506.0}, 'accuracy': 0.78985, 'macro avg': {'f1-score': 0.7897215813597922, 'precision': 0.7903983634897598, 'recall': 0.7897797456268341, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7897380153081851, 'precision': 0.7903608774149398, 'recall': 0.78985, 'support': 320000.0}}","{'0': {'f1-score': 0.8275862068965517, 'precision': 0.8421052631578947, 'recall': 0.8135593220338984, 'support': 177.0}, '4': {'f1-score': 0.8378378378378378, 'precision': 0.824468085106383, 'recall': 0.8516483516483516, 'support': 182.0}, 'accuracy': 0.8328690807799443, 'macro avg': {'f1-score': 0.8327120223671948, 'precision': 0.8332866741321389, 'recall': 0.832603836841125, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8327834125548081, 'precision': 0.833163852557964, 'recall': 0.8328690807799443, 'support': 359.0}}"
LogisticRegression,porter,wo-stopwords-custom,TfidfVectorizer,250000,UNI_AND_BI_AND_TRIGRAMS,250000,0.807278125,0.8551532033426184,322.83685494959354,"{'0': {'f1-score': 0.8037773910166056, 'precision': 0.81597188576006, 'recall': 0.7919420166275848, 'support': 159494.0}, '4': {'f1-score': 0.8106561378408333, 'precision': 0.7991319770222091, 'recall': 0.8225175382851732, 'support': 160506.0}, 'accuracy': 0.807278125, 'macro avg': {'f1-score': 0.8072167644287195, 'precision': 0.8075519313911346, 'recall': 0.807229777456379, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.8072276414471353, 'precision': 0.8075253032854428, 'recall': 0.807278125, 'support': 320000.0}}","{'0': {'f1-score': 0.8470588235294118, 'precision': 0.8834355828220859, 'recall': 0.8135593220338984, 'support': 177.0}, '4': {'f1-score': 0.8624338624338624, 'precision': 0.8316326530612245, 'recall': 0.8956043956043956, 'support': 182.0}, 'accuracy': 0.8551532033426184, 'macro avg': {'f1-score': 0.8547463429816371, 'precision': 0.8575341179416551, 'recall': 0.8545818588191469, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8548534114976849, 'precision': 0.8571733733054374, 'recall': 0.8551532033426184, 'support': 359.0}}"
LogisticRegression,none,w-stopwords,HashingVectorizer,ALL_FEATURES,UNI_AND_BIGRAMS,3500000,0.8112375,0.8217270194986073,663.4393549375236,"{'0': {'f1-score': 0.8079205276111857, 'precision': 0.8196864111498258, 'recall': 0.7964876421683574, 'support': 159494.0}, '4': {'f1-score': 0.8144418571788429, 'precision': 0.8033026299842443, 'recall': 0.8258943590893798, 'support': 160506.0}, 'accuracy': 0.8112375, 'macro avg': {'f1-score': 0.8111811923950143, 'precision': 0.811494520567035, 'recall': 0.8111910006288686, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.8111915042473931, 'precision': 0.811468613713067, 'recall': 0.8112375, 'support': 320000.0}}","{'0': {'f1-score': 0.8072289156626506, 'precision': 0.864516129032258, 'recall': 0.7570621468926554, 'support': 177.0}, '4': {'f1-score': 0.8341968911917098, 'precision': 0.7892156862745098, 'recall': 0.8846153846153846, 'support': 182.0}, 'accuracy': 0.8217270194986073, 'macro avg': {'f1-score': 0.8207129034271803, 'precision': 0.826865907653384, 'recall': 0.8208387657540199, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8209007026996668, 'precision': 0.8263415313110597, 'recall': 0.8217270194986073, 'support': 359.0}}"
LogisticRegression,lemmatizer,w-stopwords,TfidfVectorizer,10000,UNIGRAMS,10000,0.791659375,0.8050139275766016,259.02603314071894,"{'0': {'f1-score': 0.7883288619370407, 'precision': 0.7985283429063941, 'recall': 0.7783866477735839, 'support': 159494.0}, '4': {'f1-score': 0.7948867045087452, 'precision': 0.7851685721058294, 'recall': 0.8048484168816119, 'support': 160506.0}, 'accuracy': 0.791659375, 'macro avg': {'f1-score': 0.7916077832228929, 'precision': 0.7918484575061118, 'recall': 0.7916175323275979, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7916181528114594, 'precision': 0.7918273323685333, 'recall': 0.791659375, 'support': 320000.0}}","{'0': {'f1-score': 0.7965116279069767, 'precision': 0.8203592814371258, 'recall': 0.7740112994350282, 'support': 177.0}, '4': {'f1-score': 0.8128342245989305, 'precision': 0.7916666666666666, 'recall': 0.8351648351648352, 'support': 182.0}, 'accuracy': 0.8050139275766016, 'macro avg': {'f1-score': 0.8046729262529536, 'precision': 0.8060129740518962, 'recall': 0.8045880672999317, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8047865933608364, 'precision': 0.8058131647568372, 'recall': 0.8050139275766016, 'support': 359.0}}"
LogisticRegression,lemmatizer,wo-stopwords-custom,TfidfVectorizer,10000,UNI_AND_BIGRAMS,10000,0.794496875,0.841225626740947,282.50769409909844,"{'0': {'f1-score': 0.789858661647552, 'precision': 0.8054326362232229, 'recall': 0.7748755439076078, 'support': 159494.0}, '4': {'f1-score': 0.7989347618043007, 'precision': 0.7844221497745516, 'recall': 0.8139944924177289, 'support': 160506.0}, 'accuracy': 0.794496875, 'macro avg': {'f1-score': 0.7943967117259263, 'precision': 0.7949273929988873, 'recall': 0.7944350181626684, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7944110633092992, 'precision': 0.7948941701671903, 'recall': 0.794496875, 'support': 320000.0}}","{'0': {'f1-score': 0.8357348703170029, 'precision': 0.8529411764705882, 'recall': 0.8192090395480226, 'support': 177.0}, '4': {'f1-score': 0.8463611859838275, 'precision': 0.8306878306878307, 'recall': 0.8626373626373627, 'support': 182.0}, 'accuracy': 0.841225626740947, 'macro avg': {'f1-score': 0.8410480281504151, 'precision': 0.8418145035792095, 'recall': 0.8409232010926926, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8411220275631367, 'precision': 0.841659535990193, 'recall': 0.841225626740947, 'support': 359.0}}"
LogisticRegression,lemmatizer,w-stopwords,TfidfVectorizer,250000,UNI_AND_BI_AND_TRIGRAMS,250000,0.81984375,0.83008356545961,694.3581004682928,"{'0': {'f1-score': 0.8165998600241776, 'precision': 0.8288557663743332, 'recall': 0.8047011172834088, 'support': 159494.0}, '4': {'f1-score': 0.8229748817785421, 'precision': 0.8113942138852223, 'recall': 0.8348909075050154, 'support': 160506.0}, 'accuracy': 0.81984375, 'macro avg': {'f1-score': 0.8197873709013599, 'precision': 0.8201249901297778, 'recall': 0.8197960123942121, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.8197974514045089, 'precision': 0.8200973790499043, 'recall': 0.81984375, 'support': 320000.0}}","{'0': {'f1-score': 0.8157099697885196, 'precision': 0.8766233766233766, 'recall': 0.7627118644067796, 'support': 177.0}, '4': {'f1-score': 0.8423772609819121, 'precision': 0.7951219512195122, 'recall': 0.8956043956043956, 'support': 182.0}, 'accuracy': 0.83008356545961, 'macro avg': {'f1-score': 0.8290436153852159, 'precision': 0.8358726639214444, 'recall': 0.8291581300055877, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8292293207556434, 'precision': 0.8353051052487157, 'recall': 0.83008356545961, 'support': 359.0}}"
LogisticRegression,none,wo-stopwords-nltk,HashingVectorizer,ALL_FEATURES,UNIGRAMS,300000,0.778371875,0.8217270194986073,290.58063814789057,"{'0': {'f1-score': 0.7730985433336639, 'precision': 0.7893237690192005, 'recall': 0.7575269289126864, 'support': 159494.0}, '4': {'f1-score': 0.7834056627687158, 'precision': 0.7683294295247737, 'recall': 0.7990853924463883, 'support': 160506.0}, 'accuracy': 0.778371875, 'macro avg': {'f1-score': 0.7782521030511899, 'precision': 0.7788265992719872, 'recall': 0.7783061606795374, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7782684011837966, 'precision': 0.7787934019726616, 'recall': 0.778371875, 'support': 320000.0}}","{'0': {'f1-score': 0.8181818181818182, 'precision': 0.8228571428571428, 'recall': 0.8135593220338984, 'support': 177.0}, '4': {'f1-score': 0.825136612021858, 'precision': 0.8206521739130435, 'recall': 0.8296703296703297, 'support': 182.0}, 'accuracy': 0.8217270194986073, 'macro avg': {'f1-score': 0.821659215101838, 'precision': 0.8217546583850932, 'recall': 0.8216148258521141, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8217076468138161, 'precision': 0.8217393034481566, 'recall': 0.8217270194986073, 'support': 359.0}}"
